f	type
328	a
231	i
193	u
178	n
149	r
145	l
143	o
109	m
105	e
77	b
66	t
57	k'
47	č'
46	d
42	t'
39	tː
36	q'
35	aˤ
35	ə
33	c'
32	χ
32	s
30	k
30	g
29	č
28	h
27	p
26	q
25	ʟ'
24	χˤ
23	š
22	j
22	χː
19	sː
18	qˤ
17	ɬː
16	c
15	q'ˤ
14	kː
12	ž
12	z
11	ɬ
11	eˤ
10	oˤ
10	ʜ
9	k'ʷ
9	gʷ
9	ʁ
8	kʷ
8	šː
8	χːˤ
8	χʷ
6	q'ʷ
6	uˤ
6	ʟ
4	w
3	qʷ
3	q'ʷˤ
3	p'
3	χːʷ
3	qʷˤ
3	ʕ
2	c'ː
2	iˤ
2	ɬːʷ
2	q'ː
2	q'ːˤ
2	ʁʷˤ
1	č'ʷ
1	ʟ'ʷ
1	aːˤ
1	iː
1	čː
1	čʷ
1	χʷˤ
1	ɬʷ
1	šːʷ
1	
