f	type
427	a
327	i
182	e
133	o
126	r
102	u
75	m
58	b
54	l
49	š
48	ã
45	n
38	k'
38	ʟ'ː
38	ĩ
37	č
37	c'ː
35	t'
34	d
34	k
32	ʁ
32	č'
30	h
28	q'
27	sː
27	ʟː
26	ž
24	q'ː
23	qː
22	ʕ
21	ʟ'
20	t
20	χː
17	ũ
17	cː
16	χ
15	kʷ
14	q
14	k'ː
13	g
12	ʟ
12	ʜ
11	k'ʷ
10	j
10	ɬ
9	w
8	xː
7	q'ʷ
7	ẽ
7	šː
6	eː
6	χʷ
6	gʷ
5	ʁʷ
5	q'ːʷ
5	ĩː
5	č'ː
5	ɬː
4	c'
4	aː
4	šʷ
4	oː
4	hʷ
3	õː
3	c
3	s
3	čʷ
3	õ
3	c'ːʷ
3	z
2	ẽː
2	ɬʷ
2	čː
2	p
2	ʔ
2	xːʷ
1	ãː
1	xʷ
1	qʷ
1	ǯ
1	iː
1	χːʷ
1	č'ʷ
1	k'ːʷ
1	x
1	ʟ'ːʷ
1	
