f	type
335	a
210	ɨ
162	u
150	r
142	l
139	i
117	n
106	e
94	d
83	m
69	b
69	j
62	χ
56	s
55	g
49	k
40	q'
38	t'
32	x
32	z
32	š
31	t
29	w
28	ɢ
28	č
28	č'
27	k'
27	ʁ
27	χˤ
25	c'
19	p
18	q'ˤ
16	h
16	ǯ
14	ʁˤ
11	ɣ
10	ü
9	q
9	ʔ
8	qˤ
7	xʲ
7	f
6	ʒ
6	hˤ
5	q'ʷ
5	k'ʷ
5	k'ʲ
5	lʲ
5	ʔˤ
4	c
4	kʷ
4	χʷ
4	ɢˤ
3	ʁʷ
3	xʷ
3	gʲ
3	kʲ
2	p'
2	v
2	gʷ
2	o
2	ɢʷ
2	χʷˤ
1	qʷˤ
1	č'ː
1	č'ʷ
1	sʷ
1	ʁʷˤ
1	aː
1	ǯʷ
1	eː
1	
