f	type
1	q-o-n
1	h-ã
1	ʟ'-u-č'
1	q'ˤ-e-l
1	q-o-d
1	e-m
1	c'-a-n
1	o-r
1	ʁ-e
1	p-a-r
1	ʟ'-ũ
1	t-a-w
1	ã-c
1	č'-u-k'
1	l-o-s
1	k'ʷ-a-n
1	b-uˤ
1	ʁˤ-u
1	d-u-l
1	l-a-χ
1	ẽ-c
1	k-o-t'
1	qʷˤ-a-d
1	š-u-d
1	c-e-q
1	e-χ
1	g-aˤ-n
1	ɬ-a-d
1	ɬ-ẽ-s
1	b-ɨ-q
1	c-ã
1	ʟ'-e-b
1	ʁ-i
1	q'-ɨ-c
1	ʁ-u-r
1	ɬ-õ
1	m-ɨ-t'
1	a-z
1	a-s
1	m-u-ž
1	m-a-q'
1	g-u-t'
1	s-ɨ
1	ɨ-ʟ
1	ʁ-o-l
1	c-õ
1	k-a-k
1	gʷ-a-j
1	t-i-n
1	
