f	type
1	t'-o-n
1	k'-i-l
1	šː-i-b
1	z-a-r
1	l-e-r
1	p-o-l
1	k'ːʷ-o-j
1	n-o-r
1	r-e-j
1	č'-e
1	o
1	χː-o
1	dː-o
1	k-e
1	č'ː-u
1	gʷ-a-j
1	n-u-s
1	qʷ-o-r
1	ʟ'-i-b
1	d-i-l
1	h-a-l
1	
