f	type
1	d-u-č
1	d-e-χː
1	kʷ-a-r-šː
1	ʁˤ-a-l
1	xː-u-r
1	č'-u
1	m-a-q'ˤ
1	cː-a-n
1	a-r-c
1	d-a-b
1	č'-i-t'
1	t'-a-m-sː
1	d-i-l
1	q'ʷ-a-n
1	p-a-r
1	gʷ-a-l
1	r-a-l
1	ʁ-a-n
1	šː-u
1	d-a-ʜ
1	ʜ-aˤ
1	š-a-kː
1	q-a-r
1	r-a-n
1	b-ḁ-s
1	sː-aˤ-ʜ
1	b-e-r
1	b-a-k'
1	m-a-sː
1	l-a-g
1	w-a-l
1	χː-u-r
1	p-a-n
1	q-i-l
1	l-a-c
1	ʁ-i
1	q'-u-r-c
1	z-u-m
1	d-e-ž
1	q-a-l-ʁ
1	q-a-l
1	r-u-m
1	u̥-n
1	č-a-r
1	χˤ-a-n
1	l-a-w
1	šː-a-n
1	d-u-r-qˤ
1	r-a-z
1	cː-u
1	kː-e
1	ʁˤ-a-r
1	χːˤ-a-b
1	xː-a
1	j-a-qʷ
1	h-a-r
1	n-u-χ
1	ʕ-a-r-k'ʷ
1	t-i
1	b-a-t
1	m-a-ʁ
1	q'-u-l
1	cː-a-b
1	b-a-cː
1	ʕ-a-n
1	r-u-g
1	č-u-r
1	qː-a-r
1	š-i-n
1	k'-u-t'
1	š-a-χ
1	r-i-s
1	m-i-g
1	qː-i
1	r-i-xːʷ
1	χː-u-r-t
1	j-e-r
1	χːʷˤ-a
1	d-u-sː
1	ʕ-i
1	j-a-b
1	ʕ-i-b-xː
1	ʕ-i-b
1	xː-n-e
1	š-a-l
1	k-u-b
1	ʁʷ-a-l
1	b-a-j-t
1	qʷˤ-a
1	m-i-l
1	d-a-w
1	d-e-l-q
1	j-a-r
1	t'-e-r
1	d-u-m
1	b-a-ʕ
1	q'-a-j
1	r-u-šː
1	
