f	type
1	t-i-t
1	k-a-n
1	ʟ-i-l
1	c-aː
1	k-a-k
1	k-e-c'
1	c'-a-r
1	h-o-k'
1	s-a-s
1	h-ã
1	b-e-r
1	t-e-n
1	š-o
1	ä̃
1	ʔ-ä-l
1	k'-o-l
1	n-a-b
1	j-a-b
1	
