f	type
1	e-ʟ
1	s-a-q
1	č'-u-r
1	k-a-k
1	k-e-č'
1	m-a-r
1	r-a-ʟ'
1	gʷ-a-j
1	b-e-r
1	t-e-n
1	ɬ-o-č
1	qˤ-o-d
1	b-i-n
1	χ-o-w
1	a-q
1	
