N	V
799	568
800	569
801	569
802	570
803	571
804	571
805	571
806	572
807	573
808	574
809	574
810	574
811	574
812	575
813	576
814	576
815	576
816	576
817	576
818	576
819	576
820	577
821	577
822	578
823	579
824	579
825	580
826	580
827	580
828	580
829	581
830	581
831	582
832	582
833	583
834	584
835	584
836	584
837	585
838	585
839	586
840	587
841	588
842	589
