"languages","value"
"agx",0.299257254524068
"and",0.442403498829079
"ava",0.367659425290233
"dar",0.423108901266674
"lak",0.35967452897836
"lez",0.312254505996753
"rut",0.312112457763805
"tab",0.347760810194484
"udi",0.328282864805344
"kum",0.314496666480649
