"iso_lang","value"
"agx",0.46188006369012
"ava",0.52909071134396
"kum",0.45386580788673
"rut",0.441819929757253
"dar",0.592130120050971
"tab",0.516980739812369
"lak",0.469369533464999
"lez",0.449875131633656
"nog",0.454184845341597
"tkr",0.499770950264909
"arch",0.503467225158291
"khv",0.498578716659446
